code,family,genus,subgenus,species,total_abundance,abundance_proportion,abundance_rank,mean_mass_genus,se_mass_genus,Gen_spp,focalspecies
ANMACPOR,Andrenidae,Macrotera,Macroteropsis,portalis,114,0.002,35,0.0041,0,Macrotera_portalis,1
ANPERCAL,Andrenidae,Perdita,Hexaperdita,callicerata,287,0.004,23,0.003661667,0.000256333,Perdita_callicerata,1
ANPERIGN,Andrenidae,Perdita,Hexaperdita,ignota_ignota,275,0.004,24,0.003661667,0.000256333,Perdita_ignota_ignota,1
ANPERSEM,Andrenidae,Perdita,Perdita,semicaerulea,574,0.008,15,0.003661667,0.000256333,Perdita_semicaerulea,1
APANTAFF,Apidae,Anthophora,Lophanthophora,affabilis,3576,0.05,5,0.144058333,0.004481637,Anthophora_affabilis,1
APANTMON,Apidae,Anthophora,Mystacanthophora,montana,565,0.008,16,0.144058333,0.004481637,Anthophora_montana,1
APDIADIM,Apidae,Diadasia,Coquillettapis,diminuta,198,0.003,27,0.108954237,0.003637054,Diadasia_diminuta,1
APDIARIN,Apidae,Diadasia,Coquillettapis,rinconis,5148,0.073,3,0.108954237,0.003637054,Diadasia_rinconis,1
APEUCLYC,Apidae,Eucera,Synhalonia,lycii,2131,0.03,6,,,Eucera_lycii,1
APMESTRI,Apidae,Melissodes,Eumelissodes,tristis,3634,0.051,4,0.047708333,0.002754406,Melissodes_tristis,1
HAAGAANG,Halictidae,Agapostemon,NA,angelicus,14811,0.209,2,0.019803333,0.001024555,Agapostemon_angelicus,1
HAHALTRI,Halictidae,Halictus,NA,tripartitus,760,0.011,12,0.0121,0.002517368,Halictus_tripartitus,1
HALASHUD,Halictidae,Lasioglossum,Dialictus,hudsoniellum,1141,0.016,7,0.003670103,0.000188154,Lasioglossum_hudsoniellum,1
HALASSEM,Halictidae,Lasioglossum,Dialictus,semicaeruleum,25580,0.36,1,0.003670103,0.000188154,Lasioglossum_semicaeruleum,1
HALASSIS,Halictidae,Lasioglossum,Lasioglossum,sisymbrii,446,0.006,18,0.003670103,0.000188154,Lasioglossum_sisymbrii,1
MEANTPOR,Megachilidae,Anthidium,Anthidium,porterae,121,0.002,34,0.0391,0,Anthidium_porterae,1
MEASHMEL,Megachilidae,Ashmeadiella,Ashmeadiella,meliloti,365,0.005,20,,,Ashmeadiella_meliloti,1
MEOSMCER,Megachilidae,Osmia,Melanosmia,cerasi,122,0.002,33,,,Osmia_cerasi,1
MLHESLAR,Mellitidae,Hesperapis,Amblyapis,larreae,145,0.002,32,,,Hesperapis_larreae,1
ANAND002,Andrenidae,Andrena,Micrandrena,2,53,0.001,54,,,Andrena_2,0
ANMACLAT,Andrenidae,Macrotera,Macroteropsis,latior,53,0.001,55,0.0041,0,Macrotera_latior,0
ANPERCOR,Andrenidae,Perdita,Cockerellia,coreopsidis_kansensis,164,0.002,30,0.003661667,0.000256333,Perdita_coreopsidis_kansensis,0
ANPERDIV,Andrenidae,Perdita,Epimacrotera,diversa,98,0.001,36,0.003661667,0.000256333,Perdita_diversa,0
ANPERDRY,Andrenidae,Perdita,Perdita,drymariae,55,0.001,52,0.003661667,0.000256333,Perdita_drymariae,0
